"time","P","S","R","N","E","Ishadow","Ireshadow","Eshadow","Ntotal","idx","country"
2019,348.376361837144,92.1593600685426,721.41197863363,133961.571027204,1958.51100490958,64608.8252075597,18365.685910448,62162.5264768866,137082.029732653,1041,"Argentina"
2019,274.453542476363,157.914686503538,402.980548204467,135116.573316327,1118.87367658522,53781.0299632018,26296.5758165613,51544.7397838671,137070.795770097,1042,"Argentina"
2019,308.4229409596,131.421601248349,436.248735876027,135027.377752307,1180.72718592061,49605.3368659937,20505.7374226196,47364.1772516566,137084.198216312,1043,"Argentina"
2019,343.79883783862,97.5202286422708,488.239131442299,134830.705948332,1312.48585452981,46298.7830426268,14653.2373440863,43733.1138307502,137072.750000785,1044,"Argentina"
2019,296.991827518672,131.781423668466,461.071249654102,134821.062639163,1385.16642230454,60176.5969608447,24694.0764321527,57317.6410722371,137096.073562308,1045,"Argentina"
2019,310.015508022746,125.074774922707,467.873165390031,134906.257134169,1270.04524565594,51002.9655616614,20089.8187593832,48947.3404997463,137079.265828161,1046,"Argentina"
2019,299.386437004208,132.131715520339,520.303314051812,134740.101653722,1369.64284032381,54213.5437698228,22427.9824520145,52037.2582333776,137061.565960622,1047,"Argentina"
2019,327.084413851757,118.320517235129,532.886124326896,134540.158689352,1540.16502684596,59956.5134082989,22144.1204680046,57708.1500135973,137058.614771611,1048,"Argentina"
2019,335.825855854508,103.68546952462,427.198478954589,135023.923366312,1195.94986444899,45994.1976169127,15573.5826201932,43060.6546440258,137086.583035095,1049,"Argentina"
2019,311.463518731319,126.527832793921,467.522621206827,134951.569564695,1215.73586978704,46756.3540253459,18606.4941686482,44094.8979746122,137072.819407214,1050,"Argentina"
2019,280.499304849602,156.16602161958,513.706768408824,134781.449003522,1361.00435267016,61235.9796148508,28397.2646006951,58748.8653375118,137092.82545107,1051,"Argentina"
2019,298.832866350514,141.514427247213,343.832412973237,135366.878429829,938.777801908878,42125.7543229913,18413.7547708198,39101.7181723114,137089.835938309,1053,"Argentina"
2019,322.057400194864,118.071017814432,434.868189255189,135023.91339038,1178.44098880365,45971.1217565963,17159.1121256509,43432.272454724,137077.350986448,1054,"Argentina"
2019,280.977982942852,156.43300327776,506.724880062809,134826.756337069,1324.45893974799,59321.0117574423,27784.5863826348,56269.4231796286,137095.351143101,1055,"Argentina"
2019,324.551740663801,113.444789963684,533.151351135024,134645.358099093,1461.52925004376,54511.4799669061,19340.416745667,51887.2521582517,137078.0352309,1057,"Argentina"
2019,290.572766068699,148.556873948161,356.353293523382,135311.497092996,987.210692555081,46401.2915912495,21172.5604900335,43708.8101690674,137094.190719091,1058,"Argentina"
2019,298.771744138389,139.496622900487,462.235411057935,134925.613033167,1261.97892924256,55341.749248945,23878.3990925104,52601.5589975308,137088.095740506,1059,"Argentina"
2019,329.189915385204,115.471634440437,504.687607018367,134774.610988764,1379.65882800306,53714.806880162,19160.754785198,50678.4457904256,137103.618973611,106,"Argentina"
2019,301.419051157474,136.94754769767,492.446319505815,134823.84474729,1345.42339257621,57271.7856214126,23823.9504633229,54265.264415718,137100.081058227,1060,"Argentina"
2019,293.077469930636,145.277861114013,485.314388539723,134737.994886335,1425.213266501,64021.1668528511,28137.7657291659,61479.566014329,137086.87787242,1062,"Argentina"
