"pop","variable","time","scenario","perc_change_from_2021_rate_per100k","rate_per100k","perc_change_from_2021_rate_per100k_lo","rate_per100k_lo","perc_change_from_2021_rate_per100k_hi","rate_per100k_hi"
"Combined","I",2029,"Continue state of emergency",113.380208268534,103.752867872118,75.3625496867155,81.0670845283472,157.917531249744,140.430943491311
"Combined","I",2030,"Continue state of emergency",111.877006343246,103.13166769817,70.6892508751269,78.4726298932398,161.156574226622,142.544796992285
"Combined","I",2031,"Continue state of emergency",111.096582429982,103.046864530429,67.7667690625874,76.9376197579496,164.935084609642,144.551233883358
"Combined","I",2032,"Continue state of emergency",110.899778449326,103.133397978702,65.3255838420119,75.7817631598481,168.404138387166,146.60462675293
"Combined","I",2033,"Continue state of emergency",111.290556304143,103.203195194208,63.8064614964252,75.212003226416,172.451568665818,148.56149392429
"Combined","I",2034,"Continue state of emergency",111.958396008361,103.477590267696,63.20920912276,74.8743492745784,176.450566678966,150.509814081934
"Combined","I",2035,"Continue state of emergency",112.871821939096,104.005128444978,63.0299098695588,74.6934372676789,180.373142635101,152.642452383366
"Combined","I",2013,"Gradual passive abatement",-11.6793987948728,43.1103585599001,-24.8955666631029,37.7285876919103,-0.75993212714295,49.1873999953448
"Combined","I",2014,"Gradual passive abatement",-2.42816168945531,47.7122151587,-17.2007276489619,42.0881880607561,9.8389331571533,53.6625936738319
"Combined","I",2015,"Gradual passive abatement",8.40193889645271,53.0598052386864,-7.38637079222229,46.8472050942313,22.198940111683,59.3452799236973
"Combined","I",2016,"Gradual passive abatement",21.4203167870266,59.4637706243708,5.49807369855076,52.4250543680379,36.5550584523977,66.8919729202907
"Combined","I",2017,"Gradual passive abatement",33.2427285392767,65.3684835913152,18.1248801661831,57.140442817289,48.6587991233206,74.3434355419127
"Combined","I",2018,"Gradual passive abatement",25.8545894637598,61.4964504292005,17.700905635468,53.4515292169058,32.4665211992895,71.2007375142642
"Combined","I",2019,"Gradual passive abatement",12.66816438494,55.0875561849795,8.2745291212377,46.4122289752951,16.9967970778937,65.7107806511037
"Combined","I",2020,"Gradual passive abatement",1.80177955903391,49.8208509957261,-1.97270066883084,41.3754773286605,6.16682213006946,60.5588524344211
"Combined","I",2021,"Gradual passive abatement",0,48.8773272522155,0,41.1392883567632,0,59.3146522941279
"Combined","I",2022,"Gradual passive abatement",10.3022556456908,53.5730506854696,3.017366443305,44.0868625673557,18.2013776143085,68.1698501961712
"Combined","I",2023,"Gradual passive abatement",62.0479171224907,78.9969034392411,34.4479266552319,59.334042759874,88.7052738346241,104.985698192097
"Combined","I",2024,"Gradual passive abatement",104.679542320386,101.084840228767,70.3177855062869,76.1141419630209,135.262542474747,124.466370309873
"Combined","I",2025,"Gradual passive abatement",118.492199174637,107.472999597703,88.2810086776366,87.1802372413032,151.166256864421,128.645052983938
"Combined","I",2026,"Gradual passive abatement",116.705832933384,105.747210570526,87.1750616783184,88.186436798563,149.438817390255,129.257590127906
"Combined","I",2027,"Gradual passive abatement",109.095785862366,101.551273415655,79.0386368638982,83.7999960484605,140.350500510832,128.208973802325
"Combined","I",2028,"Gradual passive abatement",98.9323758581991,96.6201379577348,68.9843743961356,78.2270356784612,131.965272332151,126.003065381865
"Combined","I",2029,"Gradual passive abatement",88.8194267026473,91.7213549253494,57.8910413328295,72.7854840542679,122.996023743893,122.552295055448
"Combined","I",2030,"Gradual passive abatement",78.5484728735882,86.8775946810632,47.5052689627385,67.6724037359593,114.156948838152,118.047597925709
"Combined","I",2031,"Gradual passive abatement",68.595943884764,82.18347389609,37.6677616843777,62.9256457650694,103.995780354922,113.263821677596
"Combined","I",2032,"Gradual passive abatement",58.4203411002528,77.3195702441787,28.8438198438111,58.5325906913436,94.1737541732431,107.805232909267
"Combined","I",2033,"Gradual passive abatement",48.5474056482725,72.3834941959394,20.7367488189198,54.393519400871,83.1756609721525,102.046292737822
"Combined","I",2034,"Gradual passive abatement",38.9207303812687,67.5925921470297,12.7360909728791,50.6574679367265,71.7327581155444,95.8057783509215
"Combined","I",2035,"Gradual passive abatement",30.1818751137791,63.3857449820668,6.23704093549914,47.5728648860465,60.9460246028038,90.3600774776746
"Combined","I",2013,"Active 10-year reversion",-11.6793987948728,43.1103585599001,-24.8955666631029,37.7285876919103,-0.75993212714295,49.1873999953448
"Combined","I",2014,"Active 10-year reversion",-2.42816168945531,47.7122151587,-17.2007276489619,42.0881880607561,9.8389331571533,53.6625936738319
"Combined","I",2015,"Active 10-year reversion",8.40193889645271,53.0598052386864,-7.38637079222229,46.8472050942313,22.198940111683,59.3452799236973
"Combined","I",2016,"Active 10-year reversion",21.4203167870266,59.4637706243708,5.49807369855076,52.4250543680379,36.5550584523977,66.8919729202907
"Combined","I",2017,"Active 10-year reversion",33.2427285392767,65.3684835913152,18.1248801661831,57.140442817289,48.6587991233206,74.3434355419127
"Combined","I",2018,"Active 10-year reversion",25.8545894637598,61.4964504292005,17.700905635468,53.4515292169058,32.4665211992895,71.2007375142642
"Combined","I",2019,"Active 10-year reversion",12.66816438494,55.0875561849795,8.2745291212377,46.4122289752951,16.9967970778937,65.7107806511037
"Combined","I",2020,"Active 10-year reversion",1.80177955903391,49.8208509957261,-1.97270066883084,41.3754773286605,6.16682213006946,60.5588524344211
