"time","S1","E1","L1","I1","R1","S2","E2","L2","I2","R2","S3","E3","L3","I3","R3","S4","E4","L4","I4","R4","I1shadow","I2shadow","I3shadow","I4shadow","D1shadow","D2shadow","D3shadow","D4shadow","muI1shadow","muI2shadow","muI3shadow","muI4shadow","N1","N2","N3","N4","idx"
2025,154.448684715585,112.634482717488,388.924283759692,7.15582823902304,37.8813498507663,249.462094813037,55.2017556786526,685.165114096159,5.295603656029,72.1338325621934,725.039361505429,9.84215109606165,1896.70606864621,2.23969212966941,215.677108920537,115500.424694315,170.743966441794,24346.4897151208,20.2395663760589,1704.02900194947,3138.26646378435,1601.17944326775,2862.45566814752,123070.565056054,1926.74075185658,1692.08173811407,2401.79302468076,100390.700367408,241.875204292274,210.00681138998,299.371485852759,12565.7916067457,701.044629282555,1067.25840080607,2849.50438229791,141741.926944204,101
2024,165.886270157001,117.206760142307,386.70213373706,7.54201543051108,36.0739005357359,261.906619863874,56.8056942354343,639.709382618319,4.81501606506599,63.2402182841899,714.735875431072,9.98210731800762,1737.17517263508,1.65202238762181,191.018948543924,112841.744856278,179.602226922114,25986.5711562977,17.4749006904338,1858.87718935957,3038.02412097557,1223.18722340314,2730.72140856198,129517.634869337,1914.42355920068,1484.99989777995,2377.98292122625,109965.949941015,150.471275616127,115.486851137969,184.850877451702,8600.69457838422,713.411080002615,1026.47693106688,2654.56412631571,140884.270329547,1014
2025,163.578940640316,114.144653424372,389.976428335197,7.37217088929383,36.7596178745614,252.598262676961,55.5010336368277,650.614420798485,4.74368405102918,64.8977687347907,737.955592956236,9.97148840002315,1806.28295078589,1.69744298776565,198.766730201319,114019.449001643,179.812476959118,25738.7773864216,17.3862272951721,1849.00029746057,3052.36123981862,1228.4161109702,2734.23332888277,129560.728931071,1923.37315215776,1492.00143322842,2381.68933171696,110004.519806487,151.174268283225,115.93763424119,185.008775556898,8602.33770687499,711.83181116374,1028.35516989809,2754.67420533123,141804.42538978,1014
2024,254.650958799898,98.0774428385352,309.550533773597,6.04480381670422,30.2367716982335,576.627201635892,61.5909127187456,776.197741739167,5.37891910789328,80.8585576672589,1532.85531782291,10.9627705450725,2049.59836560666,2.3074899673036,240.839166735477,117670.515438483,139.592412136421,19706.331741643,18.218659000604,1802.06194991575,2589.14926874357,1428.14848087544,3635.55603644683,135658.24367158,1495.3580490554,1586.36532525629,3013.46657904537,110776.384356873,197.517257554855,207.324357300261,394.414666754272,14572.002231563,698.560510926968,1500.65333286896,3836.56311067743,139336.720201179,1015
2025,255.810778680992,95.9925893840288,313.002459643292,5.92308336644034,30.7919217119814,571.972567132129,60.3532249315881,793.365989242573,5.30694653117909,83.108838699624,1585.34206147402,10.9531286193187,2132.50178092871,2.36897466124563,250.556166568147,118740.267245935,139.630226491727,19510.4592482389,18.121719597491,1789.68847707501,2601.8466849645,1434.52569768765,3640.1602058549,135699.37737566,1502.53724407812,1594.13714072058,3018.02240758023,110811.784625133,198.464721783428,208.170737030466,394.785024832888,14574.8800341921,701.520832786735,1514.10756653709,3981.72211225145,140198.166917338,1015
2024,236.324743789008,106.385151757864,313.569795256853,7.21824484358103,31.2568942334228,604.025916497789,75.2283671622525,896.326731721713,6.06492046567561,95.9493675250191,1562.76892269695,14.8064731570844,2519.81105617448,2.73604827930791,285.302681279912,112992.134848818,170.691271640439,23647.9534397513,18.7428318487513,1720.71356686623,3280.20353285778,1784.02735891499,4270.07267826068,130020.162480155,1732.49061055368,1998.87111948578,3434.37384309941,102446.783108382,283.765846125702,322.035129435714,557.542252213322,16714.4183623662,694.754829880729,1677.59530337245,4385.42518158773,138550.235958925,1016
2025,236.363740972956,104.649040565072,316.01494729922,7.11185611023441,31.7839570125825,597.766189771099,74.2166550846789,913.053646418893,6.02011116903813,98.5083986930561,1618.05569821543,14.8892032828479,2612.95083790849,2.81416412532033,296.478075933281,114100.095977781,171.380037917408,23396.8278179327,18.6469779636761,1709.27891219721,3295.53977437776,1791.2318744035,4275.32953342655,130060.768817712,1740.50820380456,2008.14386947313,3439.43593299314,102480.882124219,285.078468146456,323.142639694362,558.050733508698,16717.8435705525,695.923541960065,1689.56500113676,4545.18797946537,139396.229723792,1016
2024,239.633386214396,116.36319249316,297.774382678383,6.62997589442169,33.3899370586126,555.127753225505,84.0616208852649,795.152904579455,6.35622569929121,98.6152470028821,1510.0089093873,14.6732995767427,2188.29209253078,2.50893048809644,291.328018462461,119270.851343423,94.3335936204921,18026.3512187448,14.3748812280751,1730.39858089194,3189.08219541357,2559.68722386609,4317.67181768491,139750.888986511,1756.91138051215,2482.04617502748,3517.70659178265,110390.639652891,257.919881838307,355.514745183574,511.275494238097,16145.8304724968,693.790874338974,1539.3137513924,4006.81125044539,139136.309617909,1017
2025,239.640078711119,115.033656337767,300.765003478252,6.56294264189325,33.9622093954687,549.806133633968,83.2020460461933,808.626825555016,6.31589413830453,100.802660220937,1560.46953246366,14.6796466969837,2273.25673338643,2.57605213968979,303.061467569557,120379.557138341,94.370923989624,17797.1772716487,14.2624151021134,1714.84980739296,3203.98778549707,2570.44914578366,4323.14908834691,139786.341026233,1764.82694591749,2494.27978609008,3523.07899810338,110420.89310186,259.081587208975,356.630917016667,511.723324387515,16148.3523231841,695.963890564499,1548.75355959442,4154.04343225632,140000.217556474,1017
2024,274.774435130063,89.6284775800611,292.430087133722,5.89692815208367,27.7663403808196,756.777702910635,59.7665721600417,890.918557689709,5.10245841909669,90.6374828764277,1923.53585164337,11.7362983276066,2419.07557942322,2.67088926801503,272.769060388649,112811.267381844,176.323041850403,23195.0971553081,21.0856879829553,1857.01580770275,2588.65874935871,1387.88720285803,4246.24199041658,130917.18000144,1468.55945977172,1648.57355711943,3563.44464527615,109011.019513021,126.017276448022,139.514291654194,303.496172912789,9318.30574892913,690.496268376749,1803.20277405591,4629.78767905086,138060.789074688,1018
